Time,Main Status,Sub Status,Full Status,Status Text,T,Service,FaultMsg,Value0
29/04/2014 11:27:57,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
01/05/2014 08:57:11,240,1,240 : 1,Remote control PC : switched off,5,FALSE,FALSE,0
01/05/2014 11:28:32,240,0,240 : 0,Remote control PC : switched on,5,FALSE,FALSE,0
01/05/2014 11:28:33,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
15/05/2014 09:41:38,240,1,240 : 1,Remote control PC : switched off,5,FALSE,FALSE,0
15/05/2014 11:43:10,240,0,240 : 0,Remote control PC : switched on,5,FALSE,FALSE,0
15/05/2014 11:43:11,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
27/05/2014 11:01:24,240,1,240 : 1,Remote control PC : switched off,5,FALSE,FALSE,0
27/05/2014 16:00:33,240,0,240 : 0,Remote control PC : switched on,5,FALSE,FALSE,0
27/05/2014 16:00:34,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
04/06/2014 08:20:34,240,1,240 : 1,Remote control PC : switched off,5,FALSE,FALSE,0
04/06/2014 16:55:44,240,0,240 : 0,Remote control PC : switched on,5,FALSE,FALSE,0
04/06/2014 16:55:45,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
05/06/2014 15:56:05,240,1,240 : 1,Remote control PC : switched off,5,FALSE,FALSE,0
05/06/2014 17:33:14,240,0,240 : 0,Remote control PC : switched on,5,FALSE,FALSE,0
05/06/2014 17:33:15,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
07/06/2014 11:49:11,100,85,100 : 85,Set point active power : Active power set point: 85%,1,FALSE,FALSE,0
07/06/2014 11:49:13,100,88,100 : 88,Set point active power : Active power set point: 88%,1,FALSE,FALSE,0
07/06/2014 11:49:15,100,91,100 : 91,Set point active power : Active power set point: 91%,1,FALSE,FALSE,0
07/06/2014 11:49:17,100,95,100 : 95,Set point active power : Active power set point: 95%,1,FALSE,FALSE,0
07/06/2014 11:49:19,100,99,100 : 99,Set point active power : Active power set point: 99%,1,FALSE,FALSE,0
07/06/2014 11:49:21,100,100,100 : 100,Set point active power : Relative reduction reversed,1,FALSE,FALSE,0
07/06/2014 11:49:21,0,0,0 : 0,RTU : RTU in Operation,1,FALSE,FALSE,0
07/06/2014 11:54:42,100,83,100 : 83,Set point active power : Active power set point: 83%,1,FALSE,FALSE,0
07/06/2014 11:54:47,100,86,100 : 86,Set point active power : Active power set point: 86%,1,FALSE,FALSE,0
07/06/2014 11:54:49,100,89,100 : 89,Set point active power : Active power set point: 89%,1,FALSE,FALSE,0
07/06/2014 11:54:52,100,93,100 : 93,Set point active power : Active power set point: 93%,1,FALSE,FALSE,0
07/06/2014 11:54:54,100,99,100 : 99,Set point active power : Active power set point: 99%,1,FALSE,FALSE,0
07/06/2014 11:54:56,100,100,100 : 100,Set point active power : Relative reduction reversed,1,FALSE,FALSE,0
07/06/2014 11:54:56,0,0,0 : 0,RTU : RTU in Operation,1,FALSE,FALSE,0
07/06/2014 12:00:23,100,89,100 : 89,Set point active power : Active power set point: 89%,1,FALSE,FALSE,0
07/06/2014 12:00:25,100,91,100 : 91,Set point active power : Active power set point: 91%,1,FALSE,FALSE,0
07/06/2014 12:00:27,100,93,100 : 93,Set point active power : Active power set point: 93%,1,FALSE,FALSE,0
07/06/2014 12:00:29,100,95,100 : 95,Set point active power : Active power set point: 95%,1,FALSE,FALSE,0
07/06/2014 12:00:32,100,99,100 : 99,Set point active power : Active power set point: 99%,1,FALSE,FALSE,0
07/06/2014 12:00:35,100,100,100 : 100,Set point active power : Relative reduction reversed,1,FALSE,FALSE,0
07/06/2014 12:00:35,0,0,0 : 0,RTU : RTU in Operation,1,FALSE,FALSE,0
07/06/2014 12:00:52,100,82,100 : 82,Set point active power : Active power set point: 82%,1,FALSE,FALSE,0
07/06/2014 12:01:28,100,83,100 : 83,Set point active power : Active power set point: 83%,1,FALSE,FALSE,0
07/06/2014 12:01:32,100,84,100 : 84,Set point active power : Active power set point: 84%,1,FALSE,FALSE,0
07/06/2014 12:01:38,100,85,100 : 85,Set point active power : Active power set point: 85%,1,FALSE,FALSE,0
07/06/2014 12:01:44,100,86,100 : 86,Set point active power : Active power set point: 86%,1,FALSE,FALSE,0
07/06/2014 12:01:49,100,87,100 : 87,Set point active power : Active power set point: 87%,1,FALSE,FALSE,0
07/06/2014 12:01:55,100,88,100 : 88,Set point active power : Active power set point: 88%,1,FALSE,FALSE,0
07/06/2014 12:02:01,100,89,100 : 89,Set point active power : Active power set point: 89%,1,FALSE,FALSE,0
07/06/2014 12:02:07,100,90,100 : 90,Set point active power : Active power set point: 90%,1,FALSE,FALSE,0
07/06/2014 12:02:11,100,91,100 : 91,Set point active power : Active power set point: 91%,1,FALSE,FALSE,0
07/06/2014 12:02:17,100,92,100 : 92,Set point active power : Active power set point: 92%,1,FALSE,FALSE,0
07/06/2014 12:02:23,100,93,100 : 93,Set point active power : Active power set point: 93%,1,FALSE,FALSE,0
07/06/2014 12:02:27,100,94,100 : 94,Set point active power : Active power set point: 94%,1,FALSE,FALSE,0
07/06/2014 12:02:33,100,95,100 : 95,Set point active power : Active power set point: 95%,1,FALSE,FALSE,0
07/06/2014 12:02:39,100,96,100 : 96,Set point active power : Active power set point: 96%,1,FALSE,FALSE,0
07/06/2014 12:02:45,100,97,100 : 97,Set point active power : Active power set point: 97%,1,FALSE,FALSE,0
07/06/2014 12:02:49,100,98,100 : 98,Set point active power : Active power set point: 98%,1,FALSE,FALSE,0
