Time,Main Warning,Sub Warning,Full Warning,Warning Text,WarnMsg,Value0
01/05/2014 08:57:11,240,1,240 : 1,Remote control PC,FALSE,0
01/05/2014 11:28:32,240,0,240 : 0,Remote control PC,FALSE,0
01/05/2014 11:28:33,0,0,0 : 0,unknown (possibly maintenance?) Need to get clarification from Enercon,FALSE,4
14/05/2014 14:41:31,25,284,25 : 284,Faulty yaw inverter : Rotational speed error motor 8,FALSE,5.7
14/05/2014 14:41:32,232,101,232 : 101,General information : Power curve stored,FALSE,5.9
14/05/2014 14:41:32,22,200,22 : 200,Yaw control fault : TWK NOCN installed,FALSE,5.9
14/05/2014 14:41:32,232,1203,232 : 1203,General information,FALSE,5.8
14/05/2014 14:41:33,25,281,25 : 281,Faulty yaw inverter : Rotational speed error motor 2,FALSE,5.8
14/05/2014 14:41:33,29,12,29 : 12,Anemometer Interface : Timeout communication US-Sensor (4),TRUE,5.7
14/05/2014 14:41:33,233,3,233 : 3,General warning message : Timeout maintenance (-),TRUE,5.7
14/05/2014 14:41:33,0,10,0 : 10,Information / Warnings,FALSE,5.7
14/05/2014 14:41:39,232,102,232 : 102,General information : Blade angle curve stored,FALSE,5.6
14/05/2014 14:41:40,0,10,0 : 10,Information / Warnings,FALSE,5.6
14/05/2014 17:25:44,0,10,0 : 10,Information / Warnings,FALSE,3.9
14/05/2014 17:30:43,0,0,0 : 0,unknown (possibly maintenance?) Need to get clarification from Enercon,FALSE,4.7
14/05/2014 18:43:13,0,10,0 : 10,Information / Warnings,FALSE,2.4
15/05/2014 05:59:59,49,193,49 : 193,Fault blade load control : Blade load curve A too low (28),TRUE,1.9
15/05/2014 05:59:59,49,293,49 : 293,Fault blade load control : Blade load curve B too low (28),TRUE,1.9
15/05/2014 05:59:59,49,393,49 : 393,Fault blade load control : Blade load curve C too low (28),TRUE,1.9
15/05/2014 06:00:00,0,10,0 : 10,Information / Warnings,FALSE,1.8
15/05/2014 07:33:28,0,0,0 : 0,unknown (possibly maintenance?) Need to get clarification from Enercon,FALSE,1.4
